timestamps,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyr_x,gyr_y,gyr_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,press_value1,press_value2,rot_vec_xsin,rot_vec_ysin,rot_vec_zsin,rot_vec_cos,step_step,labelWalk,labelStand,labelJumpshot,labelLayup,labelFadeaway,labelRun,labelCrossover,pca_1,pca_2,pca_3,pca_4,pca_5,cluster,silhouette
2018-06-22 08:49:01.702,0.490715908962,2.30680378462,9.44561236538,0.376445693448,2.10485506552,9.57003224138,-0.0975357597034,0.200979825617,0.0815924298621,0.191345277586,0.321580029,0.193773074276,16.5085792813,-10.347843125,-56.2476159375,1018.151412,1010.291428,,,,,4.0,1,0,0,0,0,0,0,0.524732182049,1.25656965568,-0.0951301743243,-0.125202385116,-0.0996490837517,1,0.611636669157
2018-06-22 08:49:01.952,-0.656411972865,3.25960688269,9.81286354808,0.0335773810135,2.61832280385,9.44328292308,0.305233880962,0.146549811838,-0.0734420189615,-0.681991765904,0.616236463077,0.30716241375,17.96655272,-11.01873792,-57.41772432,1018.171475,1010.311485,,,,,4.14285714286,1,0,0,0,0,0,0,0.539329092848,1.29030430001,-0.045492072398,-0.110445330869,-0.121729601015,1,0.633386612582
2018-06-22 08:49:02.202,-1.3874191909,4.55104122692,6.95196768654,-0.430533584635,3.84586019808,9.001952125,0.121444113715,-0.218484144865,0.3601634715,-0.959455920115,0.778218817308,-1.88996472346,17.0477647308,-16.1480830385,-57.1690485385,1018.18581857,1010.32583857,,,,,4.28571428571,1,0,0,0,0,0,0,0.551277630965,1.32902240151,-0.0612190881569,-0.0304612789389,-0.103552031421,1,0.652516587832
2018-06-22 08:49:02.452,1.14897302154,3.60891282115,10.8634044808,0.430456744962,3.67654803654,9.07265809615,-0.38284654,-0.212727178923,0.00482881888462,0.721887478712,-0.00508669239808,1.93170237712,11.68395996,-15.27990728,-58.70214816,1018.19596667,1010.33597333,,,,,4.42857142857,1,0,0,0,0,0,0,0.542985408941,1.35131425979,-0.0574567868314,-0.171222476956,-0.18252541408,1,0.604432704344
2018-06-22 08:49:02.702,1.83980765731,1.80500147692,10.5151578654,0.198005909235,3.51660469038,9.12498785577,0.822100131962,0.355001593788,-0.710717714115,1.64591308305,-1.82265545077,1.12431921973,14.25921632,-16.76867672,-57.71936036,1018.21833143,1010.35836286,,,,,4.57142857143,1,0,0,0,0,0,0,0.561846978114,1.32970415984,-0.0830462170095,-0.110680783073,-0.14790055429,1,0.564251787153
2018-06-22 08:49:02.952,-1.8002281136,3.59027686731,6.44901483462,0.0186057148077,3.95138854423,8.88983416346,-1.01266743462,-1.93972661288,-1.70892891452,-1.82248880821,-0.334935405577,-2.36129220712,14.0205383438,-14.3575815208,-58.7023810769,1018.23045667,1010.37049167,,,,,4.71428571429,1,0,0,0,0,0,0,0.582390622675,1.29990744851,-0.0369981945171,-0.0176348009006,-0.140500370354,1,0.624646653302
2018-06-22 08:49:03.202,3.63763457804,0.416626273431,9.61784273333,3.95012088269,2.68427252308,8.35812740577,1.54304445754,-1.92746235327,1.84716268596,-0.253346465096,-2.28851845788,1.28185206154,-13.776977596,-7.967773408,-59.843933,1018.23095714,1010.37097,,,,,4.85714285714,1,0,0,0,0,0,0,0.578358822396,1.20045571474,-0.347609686994,-0.0661979961777,-0.491386354623,1,0.489819799832
2018-06-22 08:49:03.452,8.86844906154,-0.917663273519,3.65194349115,8.63055242157,1.18123908035,4.20146218039,1.20759672255,-0.919506899118,2.34355043725,0.553084103922,-2.08736904059,-0.436581551569,-47.9000385385,-10.7183602396,-39.3242471154,1018.23176667,1010.37176667,,,,,5.0,1,0,0,0,0,0,0,0.604170820376,0.884379899704,-0.54933501039,-0.248343460409,-0.500273892379,1,0.232953880207
2018-06-22 08:49:03.702,12.8398891788,0.751008549423,5.69104327885,8.56040211923,-1.31025004654,4.56712974231,-1.31297830077,1.0755676825,-0.768906519885,4.27262142827,2.0984662955,1.10134352308,-48.67791756,4.7671508856,-45.16949492,1018.24211429,1010.38211429,,,,,5.33333333333,1,0,0,0,0,0,0,0.627103669158,0.847453648712,-0.540706977213,-0.622983517394,-0.155774144572,1,0.258148741428
2018-06-22 08:49:03.952,4.63577506731,-1.8012583791,3.57252004231,7.28619225192,0.661926760865,6.49772978462,-0.365342946788,0.688005301154,-1.11084042951,-2.698591125,-2.47317727442,-2.95973203654,-37.7483659615,-3.82666954808,-53.6231408846,1018.23975,1010.37975333,,,,,5.66666666667,1,0,0,0,0,0,0,0.602965461187,0.93802302854,-0.411371891829,-0.275771718629,-0.131500880187,1,0.231052121826
2018-06-22 08:49:04.202,9.80298408269,-3.16369716942,3.87061103731,8.46723141923,-0.332317519869,4.12025019981,2.04077413029,-3.02318865597,1.83450023481,1.38626980519,-2.85550041596,-0.0553300375769,-51.43890364,-0.46026611536,-35.11395288,1018.22788571,1010.36790571,,,,,6.0,1,0,0,0,0,0,0,0.622031688189,0.744822670137,-0.624090044945,-0.166530465107,-0.668779490404,1,0.120915913897
2018-06-22 08:49:04.452,8.90645805192,1.14255758087,0.407092171192,9.50739420192,-1.74741055769,1.61098870962,0.571431967996,0.498776652956,0.0254223164865,-0.543898943654,2.90477107481,-1.41997941237,-62.38330084,4.157165536,-19.12628172,1018.2158,1010.3558,,,,,6.5,1,0,0,0,0,0,0,0.642331506708,0.578192330639,-0.471547268876,-0.510503362991,-0.312264859183,1,0.225326746818
