sensor_type,device_type,timestamps,value1,value2,value3
Pressure,smartphone,1529657277858000000,1018.2273,1010.3673,0.0
Pressure,smartphone,1529657277896000000,1018.2273,1010.3673,0.0
Pressure,smartphone,1529657277934000000,1018.2273,1010.3673,0.0
Pressure,smartphone,1529657277973000000,1018.2273,1010.3673,0.0
Pressure,smartphone,1529657278011000000,1018.231,1010.37103,0.0
Pressure,smartphone,1529657278050000000,1018.231,1010.37103,0.0
Pressure,smartphone,1529657278089000000,1018.231,1010.37103,0.0
Pressure,smartphone,1529657278126000000,1018.231,1010.37103,0.0
Pressure,smartphone,1529657278165000000,1018.23254,1010.37256,0.0
Pressure,smartphone,1529657278204000000,1018.23254,1010.37256,0.0
Pressure,smartphone,1529657278242000000,1018.23254,1010.37256,0.0
Pressure,smartphone,1529657278280000000,1018.23254,1010.37256,0.0
Pressure,smartphone,1529657278319000000,1018.10645,1010.24646,0.0
Pressure,smartphone,1529657278357000000,1018.2257,1010.3657,0.0
Pressure,smartphone,1529657278396000000,1018.2257,1010.3657,0.0
Pressure,smartphone,1529657278435000000,1018.2257,1010.3657,0.0
Pressure,smartphone,1529657278473000000,1018.2257,1010.3657,0.0
Pressure,smartphone,1529657278511000000,1018.22705,1010.36707,0.0
Pressure,smartphone,1529657278550000000,1018.22705,1010.36707,0.0
Pressure,smartphone,1529657278588000000,1018.22705,1010.36707,0.0
Pressure,smartphone,1529657278626000000,1018.22705,1010.36707,0.0
Pressure,smartphone,1529657278665000000,1018.2275,1010.3675,0.0
Pressure,smartphone,1529657278703000000,1018.2275,1010.3675,0.0
Pressure,smartphone,1529657278742000000,1018.2275,1010.3675,0.0
Pressure,smartphone,1529657278780000000,1018.2275,1010.3675,0.0
Pressure,smartphone,1529657278819000000,1018.22485,1010.36487,0.0
Pressure,smartphone,1529657278857000000,1018.22485,1010.36487,0.0
Pressure,smartphone,1529657278896000000,1018.22485,1010.36487,0.0
Pressure,smartphone,1529657278934000000,1018.22485,1010.36487,0.0
Pressure,smartphone,1529657278972000000,1018.23,1010.37,0.0
Pressure,smartphone,1529657279011000000,1018.23,1010.37,0.0
Pressure,smartphone,1529657279049000000,1018.23,1010.37,0.0
Pressure,smartphone,1529657279088000000,1018.23,1010.37,0.0
Pressure,smartphone,1529657279127000000,1018.19025,1010.33026,0.0
Pressure,smartphone,1529657279165000000,1018.19025,1010.33026,0.0
Pressure,smartphone,1529657279203000000,1018.19025,1010.33026,0.0
Pressure,smartphone,1529657279241000000,1018.19025,1010.33026,0.0
Pressure,smartphone,1529657279280000000,1018.212,1010.352,0.0
Pressure,smartphone,1529657279319000000,1018.212,1010.352,0.0
Pressure,smartphone,1529657279357000000,1018.212,1010.352,0.0
Pressure,smartphone,1529657279396000000,1018.212,1010.352,0.0
Pressure,smartphone,1529657279433000000,1018.23083,1010.37085,0.0
Pressure,smartphone,1529657279472000000,1018.23083,1010.37085,0.0
Pressure,smartphone,1529657279510000000,1018.23083,1010.37085,0.0
Pressure,smartphone,1529657279550000000,1018.23083,1010.37085,0.0
Pressure,smartphone,1529657279588000000,1018.23047,1010.3705,0.0
Pressure,smartphone,1529657279626000000,1018.23047,1010.3705,0.0
Pressure,smartphone,1529657279665000000,1018.23047,1010.3705,0.0
Pressure,smartphone,1529657279703000000,1018.23047,1010.3705,0.0
Pressure,smartphone,1529657279741000000,1018.2445,1010.3845,0.0
Pressure,smartphone,1529657279780000000,1018.2445,1010.3845,0.0
Pressure,smartphone,1529657279819000000,1018.2445,1010.3845,0.0
