sensor_type,device_type,timestamps,lux
TCS3400 ALS,smartphone,1528370224204000000,494.0
TCS3400 ALS,smartphone,1528370224408000000,493.0
TCS3400 ALS,smartphone,1528370224817000000,497.0
TCS3400 ALS,smartphone,1528370225225000000,496.0
TCS3400 ALS,smartphone,1528370225634000000,503.0
TCS3400 ALS,smartphone,1528370225838000000,510.0
TCS3400 ALS,smartphone,1528370226043000000,514.0
TCS3400 ALS,smartphone,1528370226248000000,515.0
TCS3400 ALS,smartphone,1528370226656000000,517.0
TCS3400 ALS,smartphone,1528370227473000000,515.0
TCS3400 ALS,smartphone,1528370227883000000,517.0
TCS3400 ALS,smartphone,1528370232174000000,515.0
TCS3400 ALS,smartphone,1528370232378000000,517.0
TCS3400 ALS,smartphone,1528370232991000000,515.0
TCS3400 ALS,smartphone,1528370233400000000,517.0
TCS3400 ALS,smartphone,1528370233604000000,515.0
TCS3400 ALS,smartphone,1528370234421000000,517.0
TCS3400 ALS,smartphone,1528370235239000000,515.0
TCS3400 ALS,smartphone,1528370235443000000,517.0
TCS3400 ALS,smartphone,1528370236261000000,515.0
TCS3400 ALS,smartphone,1528370237282000000,517.0
TCS3400 ALS,smartphone,1528370237486000000,515.0
TCS3400 ALS,smartphone,1528370238304000000,517.0
TCS3400 ALS,smartphone,1528370238509000000,515.0
TCS3400 ALS,smartphone,1528370238712000000,517.0
TCS3400 ALS,smartphone,1528370239121000000,515.0
TCS3400 ALS,smartphone,1528370239326000000,517.0
TCS3400 ALS,smartphone,1528370241574000000,515.0
TCS3400 ALS,smartphone,1528370241777000000,517.0
TCS3400 ALS,smartphone,1528370242186000000,515.0
TCS3400 ALS,smartphone,1528370242391000000,517.0
TCS3400 ALS,smartphone,1528370243004000000,515.0
TCS3400 ALS,smartphone,1528370243208000000,517.0
TCS3400 ALS,smartphone,1528370245456000000,515.0
TCS3400 ALS,smartphone,1528370245660000000,517.0
TCS3400 ALS,smartphone,1528370246069000000,515.0
TCS3400 ALS,smartphone,1528370246682000000,517.0
TCS3400 ALS,smartphone,1528370246886000000,515.0
TCS3400 ALS,smartphone,1528370248317000000,517.0
TCS3400 ALS,smartphone,1528370248521000000,515.0
TCS3400 ALS,smartphone,1528370250361000000,517.0
TCS3400 ALS,smartphone,1528370250565000000,515.0
TCS3400 ALS,smartphone,1528370250769000000,517.0
TCS3400 ALS,smartphone,1528370251382000000,515.0
TCS3400 ALS,smartphone,1528370251995000000,517.0
TCS3400 ALS,smartphone,1528370252609000000,515.0
TCS3400 ALS,smartphone,1528370253016000000,517.0
TCS3400 ALS,smartphone,1528370253221000000,515.0
TCS3400 ALS,smartphone,1528370254652000000,517.0
TCS3400 ALS,smartphone,1528370254856000000,515.0
TCS3400 ALS,smartphone,1528370255061000000,517.0
TCS3400 ALS,smartphone,1528370255674000000,515.0
TCS3400 ALS,smartphone,1528370257512000000,517.0
TCS3400 ALS,smartphone,1528370258125000000,515.0
TCS3400 ALS,smartphone,1528370258330000000,517.0
TCS3400 ALS,smartphone,1528370258739000000,518.0
TCS3400 ALS,smartphone,1528370259147000000,519.0
TCS3400 ALS,smartphone,1528370259352000000,518.0
TCS3400 ALS,smartphone,1528370259760000000,517.0
TCS3400 ALS,smartphone,1528370259965000000,518.0
TCS3400 ALS,smartphone,1528370261804000000,517.0
TCS3400 ALS,smartphone,1528370262008000000,515.0
TCS3400 ALS,smartphone,1528370262213000000,514.0
TCS3400 ALS,smartphone,1528370262416000000,515.0
TCS3400 ALS,smartphone,1528370263234000000,514.0
TCS3400 ALS,smartphone,1528370263642000000,512.0
TCS3400 ALS,smartphone,1528370264257000000,511.0
TCS3400 ALS,smartphone,1528370264460000000,514.0
TCS3400 ALS,smartphone,1528370264665000000,515.0
TCS3400 ALS,smartphone,1528370265278000000,517.0
TCS3400 ALS,smartphone,1528370266913000000,515.0
TCS3400 ALS,smartphone,1528370267526000000,517.0
TCS3400 ALS,smartphone,1528370268138000000,515.0
TCS3400 ALS,smartphone,1528370268344000000,517.0
TCS3400 ALS,smartphone,1528370268956000000,518.0
TCS3400 ALS,smartphone,1528370269161000000,517.0
TCS3400 ALS,smartphone,1528370269365000000,515.0
TCS3400 ALS,smartphone,1528370269977000000,514.0
TCS3400 ALS,smartphone,1528370270182000000,517.0
TCS3400 ALS,smartphone,1528370271408000000,518.0
TCS3400 ALS,smartphone,1528370271612000000,517.0
TCS3400 ALS,smartphone,1528370272022000000,518.0
TCS3400 ALS,smartphone,1528370274473000000,517.0
TCS3400 ALS,smartphone,1528370275291000000,518.0
TCS3400 ALS,smartphone,1528370275495000000,517.0
TCS3400 ALS,smartphone,1528370275699000000,518.0
TCS3400 ALS,smartphone,1528370275903000000,517.0
TCS3400 ALS,smartphone,1528370276313000000,518.0
TCS3400 ALS,smartphone,1528370276926000000,517.0
TCS3400 ALS,smartphone,1528370277335000000,515.0
TCS3400 ALS,smartphone,1528370278151000000,517.0
TCS3400 ALS,smartphone,1528370278356000000,515.0
TCS3400 ALS,smartphone,1528370279378000000,517.0
TCS3400 ALS,smartphone,1528370279991000000,515.0
TCS3400 ALS,smartphone,1528370280195000000,517.0
TCS3400 ALS,smartphone,1528370280808000000,514.0
TCS3400 ALS,smartphone,1528370281012000000,511.0
TCS3400 ALS,smartphone,1528370281217000000,508.0
TCS3400 ALS,smartphone,1528370281421000000,507.0
TCS3400 ALS,smartphone,1528370281626000000,505.0
TCS3400 ALS,smartphone,1528370281830000000,504.0
TCS3400 ALS,smartphone,1528370282035000000,500.0
TCS3400 ALS,smartphone,1528370282238000000,499.0
TCS3400 ALS,smartphone,1528370282443000000,503.0
TCS3400 ALS,smartphone,1528370282647000000,504.0
TCS3400 ALS,smartphone,1528370283465000000,507.0
TCS3400 ALS,smartphone,1528370283669000000,508.0
TCS3400 ALS,smartphone,1528370283874000000,510.0
TCS3400 ALS,smartphone,1528370284077000000,511.0
TCS3400 ALS,smartphone,1528370284487000000,512.0
TCS3400 ALS,smartphone,1528370285100000000,511.0
TCS3400 ALS,smartphone,1528370285304000000,512.0
TCS3400 ALS,smartphone,1528370286530000000,511.0
TCS3400 ALS,smartphone,1528370286734000000,512.0
TCS3400 ALS,smartphone,1528370287347000000,510.0
TCS3400 ALS,smartphone,1528370287552000000,511.0
TCS3400 ALS,smartphone,1528370288164000000,510.0
TCS3400 ALS,smartphone,1528370288573000000,508.0
TCS3400 ALS,smartphone,1528370288778000000,511.0
TCS3400 ALS,smartphone,1528370288981000000,514.0
TCS3400 ALS,smartphone,1528370289390000000,515.0
TCS3400 ALS,smartphone,1528370294295000000,517.0
TCS3400 ALS,smartphone,1528370294907000000,515.0
TCS3400 ALS,smartphone,1528370295316000000,517.0
TCS3400 ALS,smartphone,1528370295725000000,515.0
TCS3400 ALS,smartphone,1528370297360000000,517.0
TCS3400 ALS,smartphone,1528370297564000000,515.0
TCS3400 ALS,smartphone,1528370303490000000,517.0
TCS3400 ALS,smartphone,1528370307577000000,515.0
TCS3400 ALS,smartphone,1528370307781000000,517.0
TCS3400 ALS,smartphone,1528370309212000000,515.0
TCS3400 ALS,smartphone,1528370309416000000,517.0
TCS3400 ALS,smartphone,1528370309621000000,515.0
TCS3400 ALS,smartphone,1528370310438000000,517.0
TCS3400 ALS,smartphone,1528370310643000000,515.0
TCS3400 ALS,smartphone,1528370311051000000,517.0
TCS3400 ALS,smartphone,1528370311460000000,515.0
TCS3400 ALS,smartphone,1528370313095000000,517.0
TCS3400 ALS,smartphone,1528370313298000000,515.0
TCS3400 ALS,smartphone,1528370314116000000,517.0
TCS3400 ALS,smartphone,1528370317182000000,515.0
TCS3400 ALS,smartphone,1528370317794000000,517.0
TCS3400 ALS,smartphone,1528370319838000000,515.0
TCS3400 ALS,smartphone,1528370320246000000,517.0
TCS3400 ALS,smartphone,1528370323925000000,515.0
TCS3400 ALS,smartphone,1528370324742000000,517.0
TCS3400 ALS,smartphone,1528370324947000000,515.0
TCS3400 ALS,smartphone,1528370325151000000,517.0
TCS3400 ALS,smartphone,1528370326172000000,518.0
TCS3400 ALS,smartphone,1528370326377000000,517.0
TCS3400 ALS,smartphone,1528370336594000000,515.0
TCS3400 ALS,smartphone,1528370336798000000,517.0
TCS3400 ALS,smartphone,1528370337411000000,515.0
TCS3400 ALS,smartphone,1528370337615000000,517.0
TCS3400 ALS,smartphone,1528370338024000000,515.0
TCS3400 ALS,smartphone,1528370338229000000,517.0
TCS3400 ALS,smartphone,1528370338432000000,518.0
TCS3400 ALS,smartphone,1528370338841000000,517.0
TCS3400 ALS,smartphone,1528370340476000000,515.0
TCS3400 ALS,smartphone,1528370341089000000,517.0
TCS3400 ALS,smartphone,1528370344563000000,515.0
TCS3400 ALS,smartphone,1528370344767000000,517.0
TCS3400 ALS,smartphone,1528370345176000000,518.0
TCS3400 ALS,smartphone,1528370348037000000,517.0
TCS3400 ALS,smartphone,1528370348445000000,518.0
TCS3400 ALS,smartphone,1528370348649000000,517.0
TCS3400 ALS,smartphone,1528370351101000000,518.0
TCS3400 ALS,smartphone,1528370351510000000,517.0
TCS3400 ALS,smartphone,1528370351715000000,518.0
TCS3400 ALS,smartphone,1528370351920000000,517.0
TCS3400 ALS,smartphone,1528370352124000000,518.0
TCS3400 ALS,smartphone,1528370352329000000,517.0
TCS3400 ALS,smartphone,1528370356006000000,518.0
