sensor_type,device_type,timestamps,x,y,z
AK09911 Magnetometer,smartphone,1528370174181000000,-18.119812,17.71698,-34.895325
AK09911 Magnetometer,smartphone,1528370174200000000,-16.499329,19.013977,-36.29608
AK09911 Magnetometer,smartphone,1528370174221000000,-18.144226,18.367004,-36.305237
AK09911 Magnetometer,smartphone,1528370174241000000,-17.30957,18.365479,-35.595703
AK09911 Magnetometer,smartphone,1528370174261000000,-16.474915,18.3609,-35.603333
AK09911 Magnetometer,smartphone,1528370174281000000,-16.062927,20.573425,-38.28125
AK09911 Magnetometer,smartphone,1528370174300000000,-16.873169,19.934082,-36.149597
AK09911 Magnetometer,smartphone,1528370174321000000,-15.252686,21.228027,-38.26599
AK09911 Magnetometer,smartphone,1528370174341000000,-14.736938,17.811584,-38.17444
AK09911 Magnetometer,smartphone,1528370174360000000,-15.667725,20.458984,-37.364197
AK09911 Magnetometer,smartphone,1528370174381000000,-14.808655,19.80896,-35.24475
AK09911 Magnetometer,smartphone,1528370174401000000,-13.926697,18.460083,-38.874817
AK09911 Magnetometer,smartphone,1528370174421000000,-13.949585,19.1391,-35.98938
AK09911 Magnetometer,smartphone,1528370174440000000,-12.353516,21.090698,-38.08441
AK09911 Magnetometer,smartphone,1528370174461000000,-13.114929,19.117737,-38.14392
AK09911 Magnetometer,smartphone,1528370174480000000,-13.925171,18.46466,-38.15918
AK09911 Magnetometer,smartphone,1528370174501000000,-14.047241,21.766663,-37.33368
AK09911 Magnetometer,smartphone,1528370174521000000,-11.470032,19.770813,-37.41913
AK09911 Magnetometer,smartphone,1528370174541000000,-14.022827,21.10138,-38.072205
AK09911 Magnetometer,smartphone,1528370174560000000,-13.114929,19.128418,-36.71112
AK09911 Magnetometer,smartphone,1528370174581000000,-12.280273,19.122314,-36.71875
AK09911 Magnetometer,smartphone,1528370174600000000,-14.6698,18.843079,-35.513306
AK09911 Magnetometer,smartphone,1528370174621000000,-14.6698,18.82782,-37.660217
AK09911 Magnetometer,smartphone,1528370174640000000,-16.314697,18.199158,-34.806824
AK09911 Magnetometer,smartphone,1528370174660000000,-14.572144,16.195679,-37.031555
AK09911 Magnetometer,smartphone,1528370174680000000,-16.986084,17.477417,-35.025024
AK09911 Magnetometer,smartphone,1528370174700000000,-13.598633,16.12091,-37.242126
AK09911 Magnetometer,smartphone,1528370174720000000,-16.96167,16.807556,-36.479187
AK09911 Magnetometer,smartphone,1528370174741000000,-17.771912,16.159058,-35.77881
AK09911 Magnetometer,smartphone,1528370174761000000,-15.292358,16.80603,-35.06012
AK09911 Magnetometer,smartphone,1528370174780000000,-16.175842,18.119812,-36.442566
AK09911 Magnetometer,smartphone,1528370174800000000,-15.316772,17.456055,-36.47003
AK09911 Magnetometer,smartphone,1528370174820000000,-16.127014,16.801453,-36.48529
AK09911 Magnetometer,smartphone,1528370174841000000,-16.127014,16.807556,-35.769653
AK09911 Magnetometer,smartphone,1528370174860000000,-15.292358,16.790771,-37.20703
AK09911 Magnetometer,smartphone,1528370174881000000,-15.292358,16.790771,-37.20703
AK09911 Magnetometer,smartphone,1528370174900000000,-15.292358,16.790771,-37.20703
AK09911 Magnetometer,smartphone,1528370174920000000,-16.169739,18.42041,-37.750244
AK09911 Magnetometer,smartphone,1528370174941000000,-17.004395,18.426514,-37.74414
AK09911 Magnetometer,smartphone,1528370174960000000,-14.427185,16.427612,-38.545227
AK09911 Magnetometer,smartphone,1528370174981000000,-15.359497,19.07959,-37.01935
AK09911 Magnetometer,smartphone,1528370175000000000,-16.145325,17.76123,-37.771606
AK09911 Magnetometer,smartphone,1528370175020000000,-17.893982,19.625854,-36.801147
AK09911 Magnetometer,smartphone,1528370175040000000,-15.341187,18.28003,-38.29651
AK09911 Magnetometer,smartphone,1528370175060000000,-17.08374,20.269775,-38.21869
AK09911 Magnetometer,smartphone,1528370175081000000,-14.530945,18.939209,-37.565613
AK09911 Magnetometer,smartphone,1528370175100000000,-15.341187,18.295288,-36.14807
AK09911 Magnetometer,smartphone,1528370175120000000,-15.341187,18.29071,-36.865234
AK09911 Magnetometer,smartphone,1528370175140000000,-15.341187,18.299866,-35.432434
AK09911 Magnetometer,smartphone,1528370175160000000,-15.365601,18.954468,-36.12671
AK09911 Magnetometer,smartphone,1528370175180000000,-14.506531,18.284607,-36.871338
AK09911 Magnetometer,smartphone,1528370175200000000,-15.390015,19.598389,-38.25226
AK09911 Magnetometer,smartphone,1528370175220000000,-15.341187,18.299866,-35.432434
AK09911 Magnetometer,smartphone,1528370175241000000,-14.49585,19.969177,-36.351013
AK09911 Magnetometer,smartphone,1528370175261000000,-16.067505,17.34314,-36.42578
AK09911 Magnetometer,smartphone,1528370175280000000,-15.306091,19.309998,-37.08191
AK09911 Magnetometer,smartphone,1528370175300000000,-14.422607,17.980957,-37.8479
AK09911 Magnetometer,smartphone,1528370175320000000,-15.306091,19.316101,-36.366272
AK09911 Magnetometer,smartphone,1528370175340000000,-14.776611,18.051147,-37.66632
AK09911 Magnetometer,smartphone,1528370175360000000,-15.733337,20.928955,-38.386536
AK09911 Magnetometer,smartphone,1528370175380000000,-16.447449,17.633057,-39.204407
AK09911 Magnetometer,smartphone,1528370175400000000,-16.519165,19.615173,-38.423157
AK09911 Magnetometer,smartphone,1528370175421000000,-16.494751,18.971252,-36.297607
AK09911 Magnetometer,smartphone,1528370175440000000,-15.611267,17.63153,-38.494873
AK09911 Magnetometer,smartphone,1528370175460000000,-14.801025,18.286133,-38.479614
AK09911 Magnetometer,smartphone,1528370175480000000,-15.708923,20.269775,-38.407898
AK09911 Magnetometer,smartphone,1528370175501000000,-15.635681,18.29071,-38.47351
AK09911 Magnetometer,smartphone,1528370175520000000,-17.35382,19.625854,-37.701416
AK09911 Magnetometer,smartphone,1528370175540000000,-17.329407,18.962097,-38.438416
AK09911 Magnetometer,smartphone,1528370175559000000,-16.9693,18.966675,-37.423706
AK09911 Magnetometer,smartphone,1528370175580000000,-16.036987,16.339111,-35.369873
AK09911 Magnetometer,smartphone,1528370175600000000,-16.920471,17.648315,-37.467957
AK09911 Magnetometer,smartphone,1528370175620000000,-18.614197,18.32428,-36.717224
AK09911 Magnetometer,smartphone,1528370175640000000,-17.732239,16.99524,-37.483215
AK09911 Magnetometer,smartphone,1528370175660000000,-16.920471,17.668152,-34.60388
AK09911 Magnetometer,smartphone,1528370175680000000,-16.944885,21.443176,-34.17206
AK09911 Magnetometer,smartphone,1528370175700000000,-13.630676,18.884277,-37.747192
AK09911 Magnetometer,smartphone,1528370175720000000,-14.416504,17.581177,-36.35254
AK09911 Magnetometer,smartphone,1528370175740000000,-12.7960205,18.88733,-36.32202
AK09911 Magnetometer,smartphone,1528370175760000000,-11.961365,18.878174,-37.043762
AK09911 Magnetometer,smartphone,1528370175779000000,-12.722778,16.920471,-34.95636
AK09911 Magnetometer,smartphone,1528370175800000000,-14.416504,17.570496,-37.78534
AK09911 Magnetometer,smartphone,1528370175819000000,-15.202332,16.282654,-34.24225
AK09911 Magnetometer,smartphone,1528370175840000000,-12.747192,17.56897,-36.366272
AK09911 Magnetometer,smartphone,1528370175859000000,-13.606262,18.23883,-35.621643
AK09911 Magnetometer,smartphone,1528370175880000000,-15.455627,18.371582,-35.78949
AK09911 Magnetometer,smartphone,1528370175900000000,-15.4800415,19.03534,-35.050964
AK09911 Magnetometer,smartphone,1528370175920000000,-14.645386,19.02008,-36.48987
AK09911 Magnetometer,smartphone,1528370175940000000,-12.95166,18.344116,-37.2406
AK09911 Magnetometer,smartphone,1528370175960000000,-16.314697,19.026184,-37.1933
AK09911 Magnetometer,smartphone,1528370175980000000,-13.786316,18.35022,-37.234497
AK09911 Magnetometer,smartphone,1528370176000000000,-14.620972,18.354797,-37.226868
AK09911 Magnetometer,smartphone,1528370176020000000,-17.68341,19.267273,-37.23297
AK09911 Magnetometer,smartphone,1528370176039000000,-16.921997,21.23413,-37.8891
AK09911 Magnetometer,smartphone,1528370176060000000,-15.155029,18.585205,-37.989807
AK09911 Magnetometer,smartphone,1528370176079000000,-15.989685,18.591309,-37.983704
AK09911 Magnetometer,smartphone,1528370176100000000,-14.344788,19.244385,-37.257385
AK09911 Magnetometer,smartphone,1528370176119000000,-17.658997,18.608093,-37.254333
AK09911 Magnetometer,smartphone,1528370176140000000,-15.155029,18.595886,-36.557007
AK09911 Magnetometer,smartphone,1528370176160000000,-15.155029,18.600464,-35.84137
AK09911 Magnetometer,smartphone,1528370176180000000,-14.369202,19.903564,-37.236023
AK09911 Magnetometer,smartphone,1528370176200000000,-15.216064,18.3609,-35.78186
AK09911 Magnetometer,smartphone,1528370176220000000,-15.2404785,19.013977,-36.476135
AK09911 Magnetometer,smartphone,1528370176240000000,-12.736511,18.997192,-36.49597
AK09911 Magnetometer,smartphone,1528370176259000000,-12.736511,18.997192,-36.49597
AK09911 Magnetometer,smartphone,1528370176280000000,-13.546753,18.339539,-37.226868
AK09911 Magnetometer,smartphone,1528370176300000000,-14.454651,20.332336,-35.723877
AK09911 Magnetometer,smartphone,1528370176320000000,-16.05072,18.365479,-35.775757
AK09911 Magnetometer,smartphone,1528370176340000000,-16.885376,18.380737,-34.336853
AK09911 Magnetometer,smartphone,1528370176359000000,-14.524841,18.904114,-34.454346
AK09911 Magnetometer,smartphone,1528370176380000000,-16.242981,20.23468,-34.39789
AK09911 Magnetometer,smartphone,1528370176400000000,-14.451599,16.91742,-35.95276
AK09911 Magnetometer,smartphone,1528370176419000000,-15.335083,18.255615,-33.753967
AK09911 Magnetometer,smartphone,1528370176440000000,-15.359497,18.90564,-35.16388
AK09911 Magnetometer,smartphone,1528370176460000000,-15.359497,18.899536,-35.879517
AK09911 Magnetometer,smartphone,1528370176480000000,-15.359497,18.914795,-33.732605
AK09911 Magnetometer,smartphone,1528370176500000000,-15.310669,17.591858,-34.492493
AK09911 Magnetometer,smartphone,1528370176519000000,-16.06903,17.100525,-37.08496
AK09911 Magnetometer,smartphone,1528370176539000000,-17.78717,18.42041,-38.459778
AK09911 Magnetometer,smartphone,1528370176559000000,-17.024231,20.39795,-37.686157
AK09911 Magnetometer,smartphone,1528370176579000000,-18.669128,19.754028,-36.97815
AK09911 Magnetometer,smartphone,1528370176599000000,-15.354919,20.387268,-37.698364
