sensor_type,device_type,timestamps,lux
light-apds9251,smartphone,1528450242899000000,711.0,4994.0,142.0
light-apds9251,smartphone,1528450243048000000,724.0,4986.0,143.0
light-apds9251,smartphone,1528450243170000000,711.0,4994.0,144.0
light-apds9251,smartphone,1528450243289000000,668.0,5021.0,141.0
light-apds9251,smartphone,1528450243409000000,558.0,5062.0,137.0
light-apds9251,smartphone,1528450243530000000,518.0,5087.0,137.0
light-apds9251,smartphone,1528450243650000000,532.0,5105.0,145.0
light-apds9251,smartphone,1528450243770000000,658.0,5072.0,137.0
light-apds9251,smartphone,1528450243889000000,821.0,5008.0,141.0
light-apds9251,smartphone,1528450244009000000,891.0,4962.0,149.0
light-apds9251,smartphone,1528450244130000000,864.0,4990.0,142.0
light-apds9251,smartphone,1528450244250000000,897.0,4962.0,142.0
light-apds9251,smartphone,1528450244369000000,904.0,4986.0,142.0
light-apds9251,smartphone,1528450244490000000,907.0,4986.0,142.0
light-apds9251,smartphone,1528450244610000000,907.0,4986.0,142.0
light-apds9251,smartphone,1528450244730000000,907.0,4986.0,142.0
light-apds9251,smartphone,1528450244849000000,907.0,4986.0,141.0
light-apds9251,smartphone,1528450244969000000,907.0,4986.0,142.0
light-apds9251,smartphone,1528450245089000000,907.0,4986.0,141.0
light-apds9251,smartphone,1528450245210000000,904.0,4966.0,141.0
light-apds9251,smartphone,1528450245330000000,907.0,4966.0,141.0
light-apds9251,smartphone,1528450245449000000,904.0,4966.0,141.0
light-apds9251,smartphone,1528450245570000000,904.0,4966.0,141.0
light-apds9251,smartphone,1528450245690000000,904.0,4966.0,141.0
light-apds9251,smartphone,1528450245809000000,904.0,4966.0,140.0
light-apds9251,smartphone,1528450245930000000,904.0,4966.0,140.0
light-apds9251,smartphone,1528450246050000000,901.0,4966.0,140.0
light-apds9251,smartphone,1528450246170000000,904.0,4966.0,140.0
light-apds9251,smartphone,1528450246290000000,901.0,4966.0,140.0
light-apds9251,smartphone,1528450246410000000,901.0,4966.0,140.0
light-apds9251,smartphone,1528450246529000000,904.0,4966.0,140.0
light-apds9251,smartphone,1528450246649000000,901.0,4966.0,140.0
