,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyr_x,gyr_y,gyr_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,press_value1,press_value2,rot_vec_xsin,rot_vec_ysin,rot_vec_zsin,rot_vec_cos,step_step,labelWalk,labelStand,labelJumpshot,labelLayup,labelFadeaway,labelRun,labelCrossover
2018-06-22 08:47:54.202,0.49071590896153838,2.3068037846153846,9.4456123653846138,0.376445693448,2.10485506552,9.57003224138,-0.0975357597034,0.200979825617,0.0815924298621,0.191345277586,0.321580029,0.193773074276,16.5085792813,-10.347843125,-56.2476159375,1018.151412,1010.291428,,,,,4.0,1,0,0,0,0,0,0
2018-06-22 08:47:54.452,-0.65641197286538455,3.2596068826923079,9.8128635480769226,0.0335773810135,2.61832280385,9.44328292308,0.305233880962,0.146549811838,-0.0734420189615,-0.681991765904,0.616236463077,0.30716241375,17.96655272,-11.01873792,-57.41772432,1018.171475,1010.311485,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:54.702,-1.3874191909038462,4.5510412269230773,6.9519676865384614,-0.430533584635,3.84586019808,9.001952125,0.121444113715,-0.218484144865,0.3601634715,-0.959455920115,0.778218817308,-1.88996472346,17.0477647308,-16.1480830385,-57.1690485385,1018.18581857,1010.32583857,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:54.952,1.1489730215384615,3.6089128211538464,10.86340448076923,0.430456744962,3.67654803654,9.07265809615,-0.38284654,-0.212727178923,0.00482881888462,0.721887478712,-0.00508669239808,1.93170237712,11.68395996,-15.27990728,-58.70214816,1018.19596667,1010.33597333,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:55.202,1.8398076573076918,1.8050014769230767,10.515157865384612,0.198005909235,3.51660469038,9.12498785577,0.822100131962,0.355001593788,-0.710717714115,1.64591308305,-1.82265545077,1.12431921973,14.25921632,-16.76867672,-57.71936036,1018.21833143,1010.35836286,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:55.452,-1.8002281135961542,3.590276867307693,6.4490148346153848,0.0186057148077,3.95138854423,8.88983416346,-1.01266743462,-1.93972661288,-1.70892891452,-1.82248880821,-0.334935405577,-2.36129220712,14.0205383438,-14.3575815208,-58.7023810769,1018.23045667,1010.37049167,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:55.702,3.6376345780392159,0.4166262734313726,9.6178427333333332,3.95012088269,2.68427252308,8.35812740577,1.54304445754,-1.92746235327,1.84716268596,-0.253346465096,-2.28851845788,1.28185206154,-13.776977596,-7.967773408,-59.843933,1018.23095714,1010.37097,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:55.952,8.8684490615384615,-0.91766327351923094,3.6519434911538466,8.63055242157,1.18123908035,4.20146218039,1.20759672255,-0.919506899118,2.34355043725,0.553084103922,-2.08736904059,-0.436581551569,-47.9000385385,-10.7183602396,-39.3242471154,1018.23176667,1010.37176667,,,,,5.0,1,0,0,0,0,0,0
2018-06-22 08:47:56.202,12.839889178846152,0.75100854942307671,5.6910432788461529,8.56040211923,-1.31025004654,4.56712974231,-1.31297830077,1.0755676825,-0.768906519885,4.27262142827,2.0984662955,1.10134352308,-48.67791756,4.7671508856,-45.16949492,1018.24211429,1010.38211429,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:56.452,4.6357750673076925,-1.8012583790961534,3.5725200423076919,7.28619225192,0.661926760865,6.49772978462,-0.365342946788,0.688005301154,-1.11084042951,-2.698591125,-2.47317727442,-2.95973203654,-37.7483659615,-3.82666954808,-53.6231408846,1018.23975,1010.37975333,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:56.702,9.8029840826923067,-3.1636971694230764,3.8706110373076927,8.46723141923,-0.332317519869,4.12025019981,2.04077413029,-3.02318865597,1.83450023481,1.38626980519,-2.85550041596,-0.0553300375769,-51.43890364,-0.46026611536,-35.11395288,1018.22788571,1010.36790571,,,,,6.0,1,0,0,0,0,0,0
2018-06-22 08:47:56.952,8.9064580519230763,1.1425575808653849,0.40709217119230767,9.50739420192,-1.74741055769,1.61098870962,0.571431967996,0.498776652956,0.0254223164865,-0.543898943654,2.90477107481,-1.41997941237,-62.38330084,4.157165536,-19.12628172,1018.2158,1010.3558,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:57.202,11.126859774999996,-3.8344691490384619,2.5080821433653848,8.5510128,-2.36303524808,3.76075651923,0.0127466640385,2.14651871031,0.617694562115,2.51637741484,-1.64859522808,-1.50452085269,-56.9380541923,7.01951245231,-33.3159812692,1018.22167143,1010.36168286,,,,,7.0,1,0,0,0,0,0,0
2018-06-22 08:47:57.452,0.46048384634615391,-4.9272070769230769,6.6771161061538473,3.23409096808,-3.23773599808,8.07849395192,-0.670317137268,4.51677643269,-0.750745631708,-2.79557589824,-1.75894872255,-1.18462605588,-16.098876856,12.16436768,-61.7813714,1018.2363,1010.3763,,,,,,1,0,0,0,0,0,0
2018-06-22 08:47:57.702,-4.1373506613725484,-4.1000378333333334,9.407882721568626,-4.88241858431,-5.04776985098,6.64876550588,-0.0432386178235,3.3381697699,-0.896974454706,0.714003694615,0.962949412769,2.75332262827,43.2105429615,22.8509169615,-45.0625491923,1018.22904286,1010.36904857,,,,,8.0,1,0,0,0,0,0,0
