,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,step_counter_steps,labelOnTable,labelWalking,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2018-06-07 11:16:12.665,0.12534424710101011,0.24491712813131317,9.8295012954545449,-0.00131460336064,-0.000399760712949,6.68061105769e-05,,1,0,0,497.5,-17.65570052,19.475708,-32.74639904
2018-06-07 11:16:13.165,0.12664371028282828,0.24628903212121214,9.8373739065656576,-0.00103027651515,-0.000313575823535,-0.000140874070455,,1,0,0,503.0,-17.50445556,19.75091548,-32.9600828
2018-06-07 11:16:13.665,0.12360898350505049,0.24633719727272727,9.8360615707070718,-0.00131032923712,6.84333588889e-05,-6.01874464646e-05,,1,0,0,506.0,-15.6182862,18.70422372,-36.89300532
2018-06-07 11:16:14.165,0.12494405035353535,0.25029770090909093,9.8379175202020193,-0.00122964261303,-0.000281285759596,-6.54278371212e-05,,1,0,0,507.0,-14.89526372,19.23468016,-36.90777584
2018-06-07 11:16:14.665,0.12489041372727272,0.24720848914141413,9.8370955353535354,-0.00127803917667,2.01909270707e-05,-0.000172855876515,,1,0,0,507.5,-15.8231812,17.75994864,-36.82635484
2018-06-07 11:16:15.165,0.12589441097979798,0.24756483606060606,9.8390363207070717,-0.00084223891298,-9.30169619192e-05,-1.17908838384e-05,,1,0,0,508.0,-16.01763912,18.57238764,-37.34674064
2018-06-07 11:16:15.665,0.12823324449494947,0.2458719581818182,9.8401967601010103,-0.00106264364399,5.76443166667e-05,4.4697459596e-06,,1,0,0,509.0,-14.79052728,18.61938476,-36.59362816
2018-06-07 11:16:16.165,0.12579161612060302,0.2485373801005025,9.8411066055276386,-0.000877611561919,-0.000214856083131,3.71451366162e-05,,1,0,0,,-15.39642324,18.98352048,-36.03436272
2018-06-07 11:16:16.665,0.12675661934010149,0.24527573984771575,9.8361981319796943,9.14756651515e-05,-0.000220019408283,0.000232812136869,,1,0,0,507.0,-14.86071778,19.77581796,-37.2596436
2018-06-07 11:16:17.165,0.1231550735808081,0.24521274767676765,9.8345506439393926,0.000274812331818,4.3079105e-05,0.000280900445455,,1,0,0,507.5,-14.86267106,19.34484864,-36.71307376
2018-06-07 11:16:17.665,0.12478075033333334,0.24549688484848486,9.8392722499999987,-0.000161142067172,0.000107736297172,3.46790676768e-05,,1,0,0,,-14.18566894,18.4351806,-36.83905032
2018-06-07 11:16:18.165,0.1253594631758794,0.2461071686934673,9.8354755753768845,3.25983176768e-05,-3.19047381818e-05,4.50057227273e-05,,1,0,0,505.0,-14.89709474,18.38757332,-37.20428484
2018-06-07 11:16:18.665,0.1259361300761421,0.24751785263959392,9.8383249568527926,0.000177556813131,0.000118448275354,-4.69323267677e-05,,1,0,0,507.0,-14.89721682,19.75994872,-36.2441406
2018-06-07 11:16:19.165,0.12567177012060302,0.24821771201005022,9.8341284346733673,0.000667764678788,-0.000236742431919,0.000298162906566,,1,0,0,506.666666667,-15.39050276,18.40069568,-36.91516112
2018-06-07 11:16:19.665,0.12453263137055837,0.24897626680203044,9.8365870228426395,-0.000376460533333,0.000323285961212,8.29985671717e-05,,1,0,0,509.5,-15.53515628,18.88244632,-35.82873528
2018-06-07 11:16:20.165,0.12591207636180904,0.24649799321608043,9.8415824045226135,0.000295773872222,6.38865918182e-05,0.000329759387879,,1,0,0,511.0,-15.07354736,18.62750236,-34.71948256
2018-06-07 11:16:20.665,0.12863898960202019,0.24989241818181818,9.8399493863636369,0.000958683546465,-0.000118217073384,7.72957863636e-05,,1,0,0,513.0,-15.77026372,17.09674074,-35.82452396
2018-06-07 11:16:21.165,0.12689170426161617,0.25038285671717175,9.8161944565656558,5.47158772727e-05,-0.000123919872778,1.74936641414e-05,,1,0,0,514.5,-15.10809336,18.60900872,-35.77575696
2018-06-07 11:16:21.665,0.12733921840404039,0.24789690757575755,9.8587040353535347,-4.26167151515e-05,0.000106965649394,0.000244217689899,,1,0,0,514.5,-15.33111568,19.61370852,-35.49298108
2018-06-07 11:16:22.165,0.12660764422727272,0.24832708171717172,9.8359595277777778,-0.00016661364798,0.000171622830505,0.000131086865657,,1,0,0,514.0,-15.9718018,18.7531128,-35.53460704
