,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,step_counter_steps,labelOnTable,labelWalking,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2018-06-07 11:16:12.665,0.125344247101,0.244917128131,9.82950129545,-0.00131460336064,-0.000399760712949,6.68061105769e-05,3860.0,1,0,0,497.5,-17.65570052,19.475708,-32.74639904
2018-06-07 11:16:13.165,0.126643710283,0.246289032121,9.83737390657,-0.00103027651515,-0.000313575823535,-0.000140874070455,3860.0,1,0,0,503.0,-17.50445556,19.75091548,-32.9600828
2018-06-07 11:16:13.665,0.123608983505,0.246337197273,9.83606157071,-0.00131032923712,6.84333588889e-05,-6.01874464646e-05,3860.0,1,0,0,506.0,-15.6182862,18.70422372,-36.89300532
2018-06-07 11:16:14.165,0.124944050354,0.250297700909,9.8379175202,-0.00122964261303,-0.000281285759596,-6.54278371212e-05,3860.0,1,0,0,507.0,-14.89526372,19.23468016,-36.90777584
2018-06-07 11:16:14.665,0.124890413727,0.247208489141,9.83709553535,-0.00127803917667,2.01909270707e-05,-0.000172855876515,3860.0,1,0,0,507.5,-15.8231812,17.75994864,-36.82635484
2018-06-07 11:16:15.165,0.12589441098,0.247564836061,9.83903632071,-0.00084223891298,-9.30169619192e-05,-1.17908838384e-05,3860.0,1,0,0,508.0,-16.01763912,18.57238764,-37.34674064
2018-06-07 11:16:15.665,0.128233244495,0.245871958182,9.8401967601,-0.00106264364399,5.76443166667e-05,4.4697459596e-06,3860.0,1,0,0,509.0,-14.79052728,18.61938476,-36.59362816
2018-06-07 11:16:16.165,0.125791616121,0.248537380101,9.84110660553,-0.000877611561919,-0.000214856083131,3.71451366162e-05,3860.0,1,0,0,508.0,-15.39642324,18.98352048,-36.03436272
2018-06-07 11:16:16.665,0.12675661934,0.245275739848,9.83619813198,9.14756651515e-05,-0.000220019408283,0.000232812136869,3860.0,1,0,0,507.0,-14.86071778,19.77581796,-37.2596436
2018-06-07 11:16:17.165,0.123155073581,0.245212747677,9.83455064394,0.000274812331818,4.3079105e-05,0.000280900445455,3860.0,1,0,0,507.5,-14.86267106,19.34484864,-36.71307376
2018-06-07 11:16:17.665,0.124780750333,0.245496884848,9.83927225,-0.000161142067172,0.000107736297172,3.46790676768e-05,3860.0,1,0,0,506.25,-14.18566894,18.4351806,-36.83905032
2018-06-07 11:16:18.165,0.125359463176,0.246107168693,9.83547557538,3.25983176768e-05,-3.19047381818e-05,4.50057227273e-05,3860.0,1,0,0,505.0,-14.89709474,18.38757332,-37.20428484
2018-06-07 11:16:18.665,0.125936130076,0.24751785264,9.83832495685,0.000177556813131,0.000118448275354,-4.69323267677e-05,3860.0,1,0,0,507.0,-14.89721682,19.75994872,-36.2441406
2018-06-07 11:16:19.165,0.125671770121,0.24821771201,9.83412843467,0.000667764678788,-0.000236742431919,0.000298162906566,3860.0,1,0,0,506.666666667,-15.39050276,18.40069568,-36.91516112
2018-06-07 11:16:19.665,0.124532631371,0.248976266802,9.83658702284,-0.000376460533333,0.000323285961212,8.29985671717e-05,3860.0,1,0,0,509.5,-15.53515628,18.88244632,-35.82873528
2018-06-07 11:16:20.165,0.125912076362,0.246497993216,9.84158240452,0.000295773872222,6.38865918182e-05,0.000329759387879,3860.0,1,0,0,511.0,-15.07354736,18.62750236,-34.71948256
2018-06-07 11:16:20.665,0.128638989602,0.249892418182,9.83994938636,0.000958683546465,-0.000118217073384,7.72957863636e-05,3860.0,1,0,0,513.0,-15.77026372,17.09674074,-35.82452396
2018-06-07 11:16:21.165,0.126891704262,0.250382856717,9.81619445657,5.47158772727e-05,-0.000123919872778,1.74936641414e-05,3860.0,1,0,0,514.5,-15.10809336,18.60900872,-35.77575696
2018-06-07 11:16:21.665,0.127339218404,0.247896907576,9.85870403535,-4.26167151515e-05,0.000106965649394,0.000244217689899,3860.0,1,0,0,514.5,-15.33111568,19.61370852,-35.49298108
2018-06-07 11:16:22.165,0.126607644227,0.248327081717,9.83595952778,-0.00016661364798,0.000171622830505,0.000131086865657,3860.0,1,0,0,514.0,-15.9718018,18.7531128,-35.53460704
2018-06-07 11:16:22.665,0.129231616212,0.251458293434,9.83642448232,0.000308319549246,0.000111105452714,0.000127514407035,3860.0,1,0,0,514.5,-16.23779302,18.65386968,-35.6291504
2018-06-07 11:16:23.165,0.12695258504,0.24910057904,9.83794816162,0.000350412692424,0.000113747335404,0.000249226891414,3860.0,1,0,0,515.0,-15.36486816,18.56402588,-34.87744156
2018-06-07 11:16:23.665,0.128331039667,0.248126483485,9.83696897727,3.82240388889e-05,-0.000129622641515,0.000141952978788,3860.0,1,0,0,514.0,-17.17034908,19.45367436,-35.4742434
2018-06-07 11:16:24.165,0.126976706495,0.248743384495,9.83318969949,-6.75414446701e-05,0.000406797766802,0.00017776102132,3860.0,1,0,0,514.5,-15.3526001,18.6416626,-35.2280884
2018-06-07 11:16:24.665,0.128590669919,0.243997439192,9.83717499242,0.000376999975758,0.000140488750202,0.000238669039394,3860.0,1,0,0,515.0,-16.86352536,18.29309068,-35.05206284
2018-06-07 11:16:25.165,0.128583965586,0.247613771919,9.83815342929,5.65112100503e-05,5.66645386432e-05,0.000277111882412,3860.0,1,0,0,514.5,-16.47491456,18.5512696,-36.02313248
2018-06-07 11:16:25.665,0.127157422879,0.247619552172,9.83612839141,0.000888960018274,-0.00013407595934,4.26006812183e-05,3860.0,1,0,0,514.0,-16.13568116,19.01293948,-35.69775428
2018-06-07 11:16:26.165,0.130996626621,0.249317978232,9.84014893182,0.00024391058995,0.000100293948693,0.000480536845226,3860.0,1,0,0,516.0,-15.46197516,19.95037848,-34.11944584
2018-06-07 11:16:26.665,0.12601447804,0.247196005253,9.83183604798,-0.000282672907374,-0.000180177012172,-8.00701164646e-05,3860.0,1,0,0,515.0,-15.9346922,18.06329352,-34.74481192
2018-06-07 11:16:27.165,0.130917943848,0.249317670404,9.84001546717,0.000149659453788,-0.000100800484949,-0.000104961977778,3860.0,1,0,0,517.0,-14.6482544,19.60491944,-34.6229252
2018-06-07 11:16:27.665,0.131081320758,0.249717635859,9.83207778788,-0.000285755490354,8.11490179798e-05,-1.91120235354e-05,3860.0,1,0,0,516.25,-15.09173584,17.65649404,-35.23297128
2018-06-07 11:16:28.165,0.128034263606,0.248489611667,9.83513074495,0.000187575227929,0.000135248358788,0.000157905340909,3860.0,1,0,0,515.5,-15.83874508,18.26416024,-35.92858872
2018-06-07 11:16:28.665,0.127604936828,0.24888240899,9.84106825253,-0.000307333575909,0.000124073991515,4.55451684848e-05,3860.0,1,0,0,514.75,-15.70037834,19.31018056,-34.88940408
2018-06-07 11:16:29.165,0.124969174096,0.242540687222,9.83552981061,-0.000344786969394,0.000103035358586,0.000174782486364,3860.0,1,0,0,514.0,-14.9414062,18.84027104,-35.48278832
2018-06-07 11:16:29.665,0.125597019015,0.24269782197,9.84005180556,0.000150044774848,-0.000149890631919,3.46790615152e-05,3860.0,1,0,0,516.0,-15.4520874,18.49566644,-35.53533904
2018-06-07 11:16:30.165,0.127308623788,0.245624272374,9.8401790404,7.99159928283e-05,-8.02242392929e-05,3.46790594949e-05,3860.0,1,0,0,516.666666667,-14.63159174,18.54107672,-34.55206308
2018-06-07 11:16:30.665,0.126074742455,0.248375324141,9.83556619444,0.000209153318131,1.38716383838e-06,-8.91637379798e-05,3860.0,1,0,0,517.333333333,-15.38000488,18.45037844,-35.02612288
2018-06-07 11:16:31.165,0.124318644824,0.24869403196,9.83909142714,-9.20921716667e-05,6.05727679798e-05,-0.000218092799899,3860.0,1,0,0,518.0,-16.06054692,18.73443612,-35.32849112
2018-06-07 11:16:31.665,0.124483756822,0.244315597563,9.83370049492,-0.000280438033131,-7.44443941414e-05,-0.000168694396465,3860.0,1,0,0,517.0,-14.65496832,18.83111576,-34.86315896
2018-06-07 11:16:32.165,0.128082814414,0.246017456919,9.8358989596,0.000182103646818,8.74683111111e-05,-0.000105424366667,3860.0,1,0,0,518.0,-16.03387456,19.03460688,-34.75744612
2018-06-07 11:16:32.665,0.128962530824,0.247057890804,9.83833886935,-9.2477495101e-05,0.000200136741717,-0.000185725672323,3860.0,1,0,0,516.333333333,-15.09881592,18.67181396,-34.74682604
2018-06-07 11:16:33.165,0.125131934414,0.247649376061,9.83563221212,-0.000275197641162,-0.000122378570101,0.000147655748586,3860.0,1,0,0,516.0,-15.55743414,18.1280518,-33.81066888
2018-06-07 11:16:33.665,0.124581660964,0.246144174162,9.83946770051,9.06279744444e-05,-0.000434721360101,-0.000126308869495,3860.0,1,0,0,516.4,-15.69287108,18.52667244,-34.4729
2018-06-07 11:16:34.165,0.126408277929,0.243278426869,9.83414493434,-3.29065631818e-05,-0.000245913108687,-3.42166847475e-05,3860.0,1,0,0,516.8,-15.99572756,18.82324216,-35.55981448
2018-06-07 11:16:34.665,0.124242763091,0.243617279646,9.83595937879,-0.000221483617273,-5.24809860606e-05,6.13434056566e-05,3860.0,1,0,0,517.2,-16.51324464,19.10949704,-34.91571044
2018-06-07 11:16:35.165,0.12687514403,0.243069366432,9.83621553518,2.64331705556e-05,-0.000133707064242,-0.000191428450808,3860.0,1,0,0,517.6,-16.74713152,18.58819592,-35.42150868
2018-06-07 11:16:35.665,0.126347397293,0.245581502071,9.83414542677,-7.05911525758e-05,-0.000375612814242,-0.000105039043333,3860.0,1,0,0,518.0,-16.2559204,18.87670908,-34.69995112
2018-06-07 11:16:36.165,0.130216733212,0.243694960707,9.83805060859,-3.25983091414e-05,-0.000203219324848,-3.00551950505e-05,3860.0,1,0,0,517.0,-15.27221684,18.57830812,-35.13720696
2018-06-07 11:16:36.665,0.124224806737,0.244384765556,9.83481620202,-7.58315436869e-05,-0.000385708276061,-1.88037675758e-05,3860.0,1,0,0,516.722222222,-15.63885496,19.73052976,-33.98846424
